subspecies mass
coelebs 18.3
coelebs 22.1
coelebs 22.4
coelebs 18.5
coelebs 22.2
coelebs 19.3
coelebs 17.8
coelebs 20.2
coelebs 22.1
coelebs 16.6
coelebs 20.7
coelebs 18.7
coelebs 22.6
coelebs 21.5
coelebs 21.7
coelebs 19.9
coelebs 23.1
coelebs 17.8
coelebs 19.5
coelebs 24.6
canariensis 22.7
canariensis 20.6
canariensis 25.4
canariensis 20.4
canariensis 21.6
canariensis 17
canariensis 26.4
canariensis 20.4
canariensis 24.7
canariensis 21.8
canariensis 23.4
canariensis 24.4
canariensis 21
canariensis 23.4
canariensis 20.5
canariensis 21.4
canariensis 21.5
canariensis 23.7
canariensis 23.4
canariensis 21.8
