expression temperature
1.7368 lowert
2.2285 lowert
1.5983 lowert
0.5152 lowert
2.3402 lowert
1.5531 lowert
2.2507 lowert
1.8885 lowert
1.442 lowert
2.2186 lowert
2.0715 lowert
1.482 lowert
2.2888 lowert
2.9585 lowert
2.0376 lowert
2.0263 lowert
1.7934 lowert
2.6157 lowert
2.1023 lowert
1.4782 lowert
1.8847 lowert
1.2894 lowert
1.6872 lowert
2.4759 lowert
1.6404 lowert
3.0439 lowert
2.1375 lowert
2.0521 lowert
1.4959 lowert
2.4742 lowert
2.5716 lowert
1.731 lowert
2.4451 lowert
1.6029 lowert
2.0988 lowert
1.1402 highert
1.9184 highert
2.1381 highert
1.1489 highert
2.9879 highert
2.3664 highert
3.081 highert
2.6334 highert
1.0166 highert
1.9133 highert
2.3272 highert
1.7673 highert
2.6921 highert
3.3636 highert
1.8766 highert
2.4426 highert
2.2119 highert
2.4701 highert
2.5064 highert
0.7307 highert
3.2609 highert
1.6117 highert
1.2528 highert
3.0802 highert
2.2373 highert
4.2543 highert
1.5556 highert
2.3978 highert
2.5406 highert
1.9514 highert
3.4716 highert
2.3116 highert
2.4535 highert
1.5481 highert
3.3516 highert
