"species" "myoglobin"
"Harbour Seal" 49.69
"Harbour Seal" 51.02
"Harbour Seal" 41.57
"Harbour Seal" 45.57
"Harbour Seal" 39.38
"Harbour Seal" 43.06
"Harbour Seal" 55.68
"Harbour Seal" 66.08
"Harbour Seal" 56.01
"Harbour Seal" 47.04
"Harbour Seal" 51.48
"Harbour Seal" 50.88
"Harbour Seal" 53.37
"Harbour Seal" 35.27
"Harbour Seal" 45.25
"Harbour Seal" 38.35
"Harbour Seal" 50.47
"Harbour Seal" 49.38
"Harbour Seal" 41.64
"Harbour Seal" 41.48
"Harbour Seal" 45.79
"Harbour Seal" 48.08
"Harbour Seal" 57.29
"Harbour Seal" 61.16
"Harbour Seal" 48.84
"Harbour Seal" 62.21
"Harbour Seal" 37.99
"Harbour Seal" 40.57
"Harbour Seal" 67.26
"Harbour Seal" 48.45
"Weddell Seal" 55.41
"Weddell Seal" 40.08
"Weddell Seal" 46.29
"Weddell Seal" 29.83
"Weddell Seal" 52.5
"Weddell Seal" 37.37
"Weddell Seal" 42.81
"Weddell Seal" 51.35
"Weddell Seal" 48.51
"Weddell Seal" 44.02
"Weddell Seal" 58
"Weddell Seal" 45.42
"Weddell Seal" 37.11
"Weddell Seal" 39.27
"Weddell Seal" 45.15
"Weddell Seal" 51.14
"Weddell Seal" 38.13
"Weddell Seal" 36.48
"Weddell Seal" 49.42
"Weddell Seal" 61.95
"Weddell Seal" 45.74
"Weddell Seal" 56.97
"Weddell Seal" 42.65
"Weddell Seal" 40.03
"Weddell Seal" 31.92
"Weddell Seal" 42.74
"Weddell Seal" 46.02
"Weddell Seal" 39.02
"Weddell Seal" 50.06
"Weddell Seal" 34.42
"Bladdernose Seal" 56.19
"Bladdernose Seal" 48.36
"Bladdernose Seal" 37.77
"Bladdernose Seal" 42.75
"Bladdernose Seal" 27.01
"Bladdernose Seal" 43.1
"Bladdernose Seal" 42.38
"Bladdernose Seal" 29.86
"Bladdernose Seal" 42.26
"Bladdernose Seal" 58.14
"Bladdernose Seal" 32.23
"Bladdernose Seal" 38.39
"Bladdernose Seal" 52.57
"Bladdernose Seal" 53.92
"Bladdernose Seal" 42.3
"Bladdernose Seal" 46.41
"Bladdernose Seal" 44.57
"Bladdernose Seal" 48.97
"Bladdernose Seal" 40.17
"Bladdernose Seal" 41.37
"Bladdernose Seal" 38.65
"Bladdernose Seal" 35.1
"Bladdernose Seal" 48.23
"Bladdernose Seal" 33.17
"Bladdernose Seal" 38.42
"Bladdernose Seal" 26.01
"Bladdernose Seal" 50.01
"Bladdernose Seal" 42.63
"Bladdernose Seal" 46.97
"Bladdernose Seal" 41.57
