anxiety time
16 14.58387421
22 12.98772791
33 13.89279253
42 13.37876055
53 13.36527607
64 12.9529483
71 12.90015097
83 13.05171427
92 13.04466696
104 12.35567486
112 12.26079378
123 12.56634164
132 10.3027748
143 11.05711948
153 11.23428341
161 10.35157478
174 10.50173167
182 9.307519982
195 9.845716029
202 9.698572437
213 9.465293407
222 10.30851676
231 10.66759811
242 10.37615972
254 12.77890631
262 11.57187777
274 11.88228018
281 11.99025468
294 11.76051914
306 12.91706706
311 12.998383
324 12.76822944
330 12.8479125
343 13.09050206
352 12.0715965
363 13.56578687
373 13.50704494
382 14.21433507
392 14.3306662
402 14.28339705
